,frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (graus)
0,10.0,1.990429163,0.0242324807,-95.1188583374
1,13.73823795883263,1.990429163,0.0308123212,96.0074768066
2,18.873918221350976,2.0150024891,0.0372380428,94.1371459961
3,25.92943797404667,2.002715826,0.0500487983,92.3316040039
4,35.62247890262442,1.990429163,0.0653976053,92.7065505981
5,48.93900918477494,1.990429163,0.0885546058,89.9120330811
6,67.23357536499334,1.990429163,0.1221845597,87.8816375732
7,92.36708571873861,1.990429163,0.1643476188,85.7617721558
8,126.89610031679221,1.9781426191,0.2222460061,83.0418243408
9,174.33288221999874,1.990429163,0.3008759916,81.5899581909
10,239.5026619987486,1.9658560753,0.4044081569,77.5862045288
11,329.03445623126674,1.9658560753,0.5404968858,73.3245773315
12,452.03536563602404,1.9289962053,0.712716043,68.6799240112
13,621.0169418915616,1.9044229984,0.8999941945,61.1910629272
14,853.1678524172805,1.8675632477,1.1021442413,51.3626441956
15,1172.1022975334806,1.8184168339,1.2818800211,42.5761146545
16,1610.2620275609393,1.7815569639,1.4718846083,35.3032264709
17,2212.216291070448,1.756983757,1.5640063286,27.3256835937
18,3039.195382313198,1.7324105501,1.6269226074,20.145986557
19,4175.3189365604,1.7201240063,1.6619611979,14.7122592926
20,5736.152510448682,1.7078373432,1.677179575,10.0343551636
21,7880.462815669913,1.7078373432,1.6927224398,8.085105896
22,10826.36733874054,1.7078373432,1.6978701353,5.0649352074
23,14873.521072935118,1.6955507994,1.7030956745,3.8571426868
24,20433.597178569395,1.7078373432,1.708337903,3.232653141
25,28072.162039411756,1.6955507994,1.7135310173,1.6179776192
26,38566.20421163472,1.6955507994,1.7082576752,1.1085450649
27,52983.16906283702,1.6832641363,1.7030024529,1.1440677643
28,72789.53843983146,1.6955507994,1.7187894583,0.7865986824
29,100000.0,1.7078373432,1.7240771055,0.719999969
